id,first_name,last_name,gender,email,address,country,nationality,generation,date_of_birth,wealth_tier,net_worth_usd,monthly_income_usd,internet_frequency,monthly_internet_spend_usd,food_living_pct,tech_pct,lifestyle_pct,travel_pct,investment_pct,food_living_usd,tech_usd,lifestyle_usd,travel_usd,investment_usd
1,Michel,Roux,male,michel.roux430.fr@gmail.com,"57 Rue de Passy, Lille",fr,FR,gen_z,1998-10-14,bottom_50,1572.26,157.23,once,10.1,77.17,6.11,15.74,0.98,0.0,121.33,9.61,24.75,1.54,0.0
2,Hui,Xu,male,hui.xu997.cn@gmail.com,"97 Wangfujing St, Suzhou",china,CN,boomer,1954-03-07,top_10,590921.56,7386.52,sometimes,61.1,40.84,16.27,11.19,10.56,21.14,3016.65,1201.79,826.55,780.02,1561.51
3,Ming,Zhang,male,ming.zhang167.cn@gmail.com,"95 Changan Ave, Guangzhou",china,CN,boomer,1947-11-08,top_25,197877.55,7915.1,always,31.95,43.68,13.53,15.94,5.15,21.7,3457.32,1070.91,1261.67,407.63,1717.58
4,Andre,Roux,male,andre.roux324.fr@gmail.com,"103 Rue de Rivoli, Lyon",fr,FR,millennial,1988-03-15,top_25,292665.49,11706.62,always,54.6,44.1,7.16,27.73,7.45,13.56,5162.62,838.19,3246.25,872.14,1587.42
5,Qiang,Ma,male,qiang.ma142.cn@gmail.com,"131 Dongfeng Rd, Beijing",china,CN,boomer,1960-03-09,top_1,776916.73,3884.58,always,423.67,24.17,10.92,14.02,12.87,38.02,938.9,424.2,544.62,499.95,1476.92
6,Freddie,Harris,male,freddie.harris788.uk@gmail.com,"165 Park Rd, Manchester",uk,GB,gen_z,1998-07-13,top_10,205055.2,2563.19,often,168.16,16.35,15.17,29.08,12.46,26.94,419.08,388.84,745.38,319.37,690.52
7,Zhen,He,female,zhen.he798.cn@gmail.com,"136 Nanjing Rd, Nanjing",china,CN,gen_z,1999-09-04,bottom_50,103218.26,10321.83,once,7.35,73.47,13.27,13.04,0.22,0.0,7583.45,1369.71,1345.97,22.71,0.0
8,Karen,Davis,female,karen.davis487.us@gmail.com,"141 Maple Dr, Phoenix",usa,US,boomer,1947-04-19,bottom_50,1041644.39,104164.44,once,16.12,74.36,5.45,11.16,9.03,0.0,77456.68,5676.96,11624.75,9406.05,0.0
9,Susan,Wilson,female,susan.wilson603.us@gmail.com,"57 Main St, Los Angeles",usa,US,boomer,1958-11-21,top_25,1808490.72,72339.63,always,60.81,39.76,5.85,18.93,16.32,19.14,28762.24,4231.87,13693.89,11805.83,13845.81
10,James,Williams,male,james.williams827.uk@gmail.com,"105 Green Lane, Manchester",uk,GB,gen_z,2005-04-09,bottom_50,31649.34,3164.93,once,10.12,77.5,7.67,11.37,3.46,0.0,2452.82,242.75,359.85,109.51,0.0
