id,first_name,last_name,gender,email,address,country,generation,wealth_tier,net_worth_usd,monthly_income_usd,internet_frequency,monthly_internet_spend_usd,food_living_pct,tech_pct,lifestyle_pct,travel_pct,investment_pct,food_living_usd,tech_usd,lifestyle_usd,travel_usd,investment_usd
1,ANONYMIZED,ANONYMIZED,male,ANONYMIZED,ANONYMIZED,fr,gen_z,bottom_50,4300.78,430.08,sometimes,6.18,72.02,8.58,15.54,3.86,0.0,309.74,36.9,66.83,16.6,0.0
2,Hao,Zhu,male,hao.zhu748.cn@gmail.com,"118 Xinhua St, Beijing",china,boomer,top_25,147809.18,5912.37,once,35.62,43.04,10.74,22.54,12.85,10.83,2544.68,634.99,1332.65,759.74,640.31
3,Agnes,Jonsson,female,agnes.jonsson104.se@gmail.com,"98 Hornsgatan, Helsingborg",swe,millennial,bottom_50,60528.44,6052.84,sometimes,8.15,69.04,9.89,14.37,6.7,0.0,4178.88,598.63,869.79,405.54,0.0
4,Henri,Dubois,male,henri.dubois571.fr@gmail.com,"57 Avenue Montaigne, Paris",fr,millennial,bottom_50,118379.13,11837.91,once,15.94,75.13,4.55,12.27,8.05,0.0,8893.82,538.62,1452.51,952.95,0.0
5,Ming,Gao,male,ming.gao253.cn@gmail.com,"191 Xinhua St, Suzhou",china,gen_z,bottom_50,103911.79,10391.18,once,7.45,73.6,9.22,16.78,0.4,0.0,7647.91,958.07,1743.64,41.56,0.0
6,Tao,Chen,male,tao.chen480.cn@gmail.com,"136 Huaihai Rd, Suzhou",china,boomer,top_25,167391.0,6695.64,once,15.98,47.37,11.44,16.32,6.28,18.59,3171.72,765.98,1092.73,420.49,1244.72
7,ANONYMIZED,ANONYMIZED,female,ANONYMIZED,ANONYMIZED,ire,millennial,bottom_50,239897.34,23989.73,once,11.45,77.43,6.04,12.11,4.42,0.0,18575.25,1448.98,2905.16,1060.35,0.0
8,ANONYMIZED,ANONYMIZED,female,ANONYMIZED,ANONYMIZED,swe,gen_z,top_10,26572.37,332.15,always,222.07,18.74,21.48,22.03,18.07,19.68,62.24,71.35,73.17,60.02,65.37
9,Qiang,Zhang,male,qiang.zhang622.cn@gmail.com,"109 Zhongshan Ave, Suzhou",china,millennial,bottom_50,63637.45,6363.74,sometimes,4.24,76.65,6.61,12.15,4.59,0.0,4877.81,420.64,773.19,292.1,0.0
10,William,Wood,male,william.wood61.uk@gmail.com,"59 Church Rd, London",uk,millennial,top_25,576155.02,23046.2,sometimes,47.54,42.59,10.11,17.74,8.56,21.0,9815.38,2329.97,4088.4,1972.75,4839.7
